id,dist_cap_km,taxa_fec,renda_cap,pobreza,pop_ate_25_2000,perc_ate_25_2000,var_pop_ate_25,perc_pop_urb,player
170290,509.3906773,3.39,74.15,59.11,5337,0.6046221819417695,0.8726291693917593,0.8564631245043616,0
310100,523.6885293,3.66,92.93,59.23,6738,0.5672672167031487,1.0082298368995959,0.6831958242128304,1
210135,52.09692123,3.68,54.69,64.31,2687,0.5752515521301649,0.9268713349430838,0.2438450010704346,0
150125,687.428281,3.25,163.93,50.94,2210,0.5846560846560847,1.5454545454545454,0.3145502645502645,0
150130,14.64680334,3.25,175.26,48.19,38534,0.609059872289309,1.2914837282568623,0.438879054182209,0
430180,263.3156045,2.83,182.77,43.32,2527,0.45189556509299,0.7732558139534884,0.4926680972818312,0
230220,68.79640078,3.21,81.18,56.13,23090,0.5453085515905817,1.0603903559127439,0.4651772429917578,0
210177,174.4071818,4.1,59.32,61.78,6123,0.6184848484848485,1.1212232191906244,0.3498989898989899,0
210190,54.04206251,3.36,51.37,66.12,11588,0.5882233502538071,0.8620099680130923,0.26131979695431473,0
310660,469.8037454,3.12,89.75,55.64,2488,0.5608656447249775,0.8363025210084034,0.5509467989179441,1
290370,239.7858313,3.26,54.43,65.38,11805,0.5746203271028038,1.4435069699192957,0.22337422118380063,0
170330,134.8138738,4.28,91.32,56.2,1331,0.5729659922513991,3.369620253164557,0.48643994834266036,0
290400,360.6114981,2.94,76.8,63.28,6829,0.5480298531418024,0.8677255400254129,0.306636706524356,0
430250,383.6924402,2.81,167.78,46.94,3482,0.448884878174552,0.8812958744621615,0.5175970091530231,0
120010,154.0471387,3.06,132.38,56.18,10101,0.5937224475401164,1.3209101608473912,0.5305354728736849,0
310860,404.1336606,2.72,114.25,55.52,16635,0.5496266437586731,0.9322461331540014,0.5808497984537104,1
260250,276.1747308,2.91,62.14,67.05,3970,0.5454795273426766,0.8917340521114105,0.32824951909865346,0
290485,88.13489413,3.11,64.59,65.26,9487,0.6102141892326494,0.998421384971585,0.2125812053772432,0
110060,207.2352554,3.09,202.22,53.26,3000,0.5584512285927029,1.2642225031605563,0.3443782576321668,0
250350,114.9824604,4.26,61.36,64.43,9415,0.5598501516322769,0.8651107231461913,0.4491288577035143,0
290515,300.2876881,2.66,61.66,66.92,7092,0.5423676965432854,1.0758495145631068,0.17681248088100338,0
220207,191.7785696,2.84,70.06,61.35,1521,0.5703037120359955,0.9812903225806452,0.32470941132358455,0
520450,135.8241168,2.39,351.82,38.53,24821,0.49981876761981475,1.878528721713464,0.9526379379782521,0
290560,291.981805,2.73,106.97,54.49,18065,0.581709869586218,0.7675801997025706,0.7819030751891805,0
150210,140.7310496,4.75,71.06,58.93,62789,0.6431717610423666,1.0915459902995324,0.41400680160616243,0
311115,379.0435714,3.18,77.91,64.63,1949,0.5453273642977057,0.9878357830714648,0.3698936765528819,1
510267,99.48352196,2.24,342.01,32.01,9354,0.5431740317054758,2.75360612304975,0.7586667440915161,0
520490,484.5777315,3.36,147.73,47.64,9708,0.569484366750748,1.0472491909385113,0.8334017715727108,0
290620,381.448887,2.81,87.74,60.2,12105,0.5587352873297946,1.0344385575115365,0.45026540503115625,0
290630,304.1124867,2.8,120.98,47.42,19285,0.5459770114942529,0.9851851851851852,0.7457958213011721,0
